"type","category","title","slug","url","metaTitle","metaDescription","content"
"service","Тексты для сайта","SEO-тексты на заказ — выводим страницы в ТОП Яндекса и Google","seo-teksty","https://alex1986-rgb.github.io/textlab-landing/services/seo-teksty.html","SEO-тексты на заказ — цена от 350 ₽ за 1000 знаков | ТекстЛаб","Заказать SEO-текст для сайта: проработка семантики, структура под поисковые интенты, уникальность 95–100%. Тексты, которые выводят страницы в ТОП и приводят трафик.","Пишем тексты, которые любят и поисковики, и читатели: с проработанной семантикой, чёткой структурой и пользой, ради которой человек остаётся на странице. SEO-текст — это не «вода с ключами», а ответ на конкретный запрос пользователя. Мы начинаем с разбора семантического ядра и поисковых интентов: что человек хочет найти, когда вводит запрос, и какой ответ ждёт. Под это проектируем структуру — заголовки, подзаголовки, списки, таблицы — чтобы поисковик легко разобрал страницу, а читатель быстро нашёл нужное. Каждый текст проходит проверку на уникальность (Text.ru, Адвего), переспам и водность, а также вычитку редактором. На выходе вы получаете материал, который ранжируется по целевым запросам, удерживает внимание и ведёт к целевому действию — заявке, звонку или покупке. Что входит: Анализ семантического ядра и кластеризация запросов; Проработка структуры под поисковый интент (H1–H3, списки, таблицы); LSI-фразы и естественное вхождение ключей без переспама; Мета-теги Title и Description под каждую страницу; Проверка уникальности и отчёт (Text.ru / Адвего); Перелинковка и рекомендации по оформлению Кому подходит: Коммерческие сайты и интернет-магазины; Блоги и информационные порталы; Сайты услуг и landing-кластеры; Компании, которые продвигаются в органике"
"service","Продающие тексты","Тексты для продающего лендинга — структура, прототип и копирайтинг","prodayushchie-lendingi","https://alex1986-rgb.github.io/textlab-landing/services/prodayushchie-lendingi.html","Текст для лендинга на заказ — от 12 000 ₽ | Копирайтинг ТекстЛаб","Заказать продающий текст для лендинга: офер, структура по методологии, проработка возражений и призывов. Лендинги с конверсией до 9–12%.","Лендинг — это путь от первого экрана до кнопки «оставить заявку». Мы выстраиваем этот путь так, чтобы на каждом шаге у человека оставалось всё меньше причин закрыть вкладку. Сильный лендинг начинается не с текста, а с маркетингового анализа: кто ваш клиент, на каком этапе принятия решения он находится, какие у него боли и возражения. На основе этого мы формулируем оффер — конкретное обещание ценности, которое отличает вас от конкурентов, — и проектируем структуру экранов: заголовок, выгоды, доказательства, отработка возражений, призыв к действию. Дальше — копирайтинг по каждому блоку и прототип в виде структуры с пояснениями для дизайнера. Текст пишется под одну целевую конверсию: заявку, заказ, регистрацию. Результат — посадочная страница, которую не нужно «дописывать после дизайна»: она уже продаёт. Что входит: Бриф и маркетинговый анализ ниши, ЦА и конкурентов; Формулировка оффера и УТП; Структура (прототип) экранов с логикой повествования; Тексты всех блоков: заголовки, выгоды, FAQ, призывы; Отработка ключевых возражений и триггеров доверия; Рекомендации по визуалу и расстановке CTA Кому подходит: Запуск нового продукта или услуги; Реклама в Директ / VK Ads с посадочной; Эксперты, онлайн-школы, инфобизнес; B2B-компании с длинным циклом сделки"
"service","Контент-маркетинг","Статьи для блога на заказ — экспертный контент, который приводит трафик","stati-dlya-bloga","https://alex1986-rgb.github.io/textlab-landing/services/stati-dlya-bloga.html","Написание статей для блога — цена от 2 500 ₽ | ТекстЛаб","Заказать статью для блога компании: экспертные материалы, инфостатьи под SEO, гайды и обзоры. Контент, который привлекает трафик и закрывает возражения клиентов.","Блог — это актив, который работает годами: одна хорошая статья приводит читателей из поиска месяц за месяцем и прогревает их к покупке. Мы пишем статьи, которые решают задачу читателя и одновременно работают на бизнес. Перед текстом — разбор темы, поисковых запросов и вопросов аудитории. Внутри — понятная структура, примеры, факты и экспертные детали, а не общие слова. Такой материал дочитывают, сохраняют и рекомендуют. Каждая статья оптимизирована под SEO: заголовки, ключевые фразы, мета-теги, перелинковка. Мы можем вести блог системно — с контент-планом и регулярным выпуском — или писать отдельные материалы под конкретные запросы и инфоповоды. Что входит: Подбор темы и анализ поисковых запросов; Структура статьи и фактура (исследование темы); Экспертный текст с примерами и данными; SEO-оптимизация: ключи, мета-теги, подзаголовки; Подбор иллюстраций и оформление; Контент-план при системном ведении блога Кому подходит: Корпоративные блоги и медиа; Онлайн-школы и эксперты; SaaS и IT-продукты; Интернет-магазины с экспертным контентом"
"service","Email-маркетинг","Тексты для email-рассылок — цепочки писем, прогревы и дайджесты","email-rassylki","https://alex1986-rgb.github.io/textlab-landing/services/email-rassylki.html","Тексты для email-рассылок на заказ — от 1 800 ₽ за письмо | ТекстЛаб","Заказать тексты для email-рассылки: welcome-цепочки, прогревы, продающие письма и дайджесты с высоким open rate. Письма, которые открывают и по которым кликают.","Email — самый недооценённый канал продаж. Хорошая цепочка писем превращает подписчика в клиента без бюджета на рекламу. Мы пишем письма, которые открывают (сильная тема), читают (живой текст и польза) и по которым кликают (понятный призыв). Под задачу проектируем сценарий: welcome-серия для новых подписчиков, прогрев перед запуском, реактивация «спящих», регулярный дайджест или продающая цепочка. Каждое письмо встроено в общую логику воронки: что человек уже знает, что должен узнать сейчас и какое действие совершить. Мы учитываем сегмент аудитории, тон бренда и метрики прошлых рассылок, если они есть. Что входит: Сценарий цепочки и карта касаний; Темы писем с прогнозом на open rate; Тексты писем под сегмент и этап воронки; Призывы к действию и структура под клики; Рекомендации по времени и частоте отправки; A/B-варианты тем и первых строк Кому подходит: Онлайн-школы и запуски; Интернет-магазины и сервисы; B2B с длинным циклом сделки; Медиа и блоги с подпиской"
"service","SMM","Тексты для соцсетей — посты, контент-план и ведение SMM","smm-socseti","https://alex1986-rgb.github.io/textlab-landing/services/smm-socseti.html","Тексты для соцсетей на заказ — ведение SMM от 9 000 ₽/мес | ТекстЛаб","Заказать тексты для соцсетей: контент-план, продающие и вовлекающие посты для VK, Telegram, Дзен. Системный SMM-контент, который собирает охваты и заявки.","Соцсети прощают всё, кроме скуки. Мы пишем посты, которые останавливают пролистывание и превращают подписчиков в клиентов. Контент в соцсетях работает только системно. Мы строим контент-план на основе целей бизнеса и интересов аудитории: продающие, экспертные, вовлекающие и репутационные посты в нужной пропорции. Каждый пост — с цепляющим первым предложением, понятной структурой и призывом. Пишем под площадку и её формат: длинные экспертные посты для Telegram и Дзена, ёмкие для VK, тексты-подводки под Reels и сторис. Соблюдаем единый tone of voice, чтобы лента выглядела как цельный бренд, а не набор случайных публикаций. Что входит: Контент-план на месяц под цели бизнеса; Продающие, экспертные и вовлекающие посты; Адаптация под площадку (VK, Telegram, Дзен); Цепляющие заголовки-крючки и призывы; Рубрикатор и единый tone of voice; Тексты-подводки под сторис и Reels Кому подходит: Личные бренды и эксперты; Малый и средний бизнес; Онлайн-школы; Локальный бизнес и услуги"
"service","E-commerce","Тексты для карточек маркетплейсов — Wildberries, Ozon, Яндекс Маркет","kartochki-marketpleysov","https://alex1986-rgb.github.io/textlab-landing/services/kartochki-marketpleysov.html","Карточки товаров для маркетплейсов на заказ — от 600 ₽ | ТекстЛаб","Заказать описание карточки для Wildberries, Ozon, Яндекс Маркет: SEO-заголовки, выгоды, ключи для внутреннего поиска. Карточки, которые поднимают конверсию и продажи.","На маркетплейсе у вас есть пара секунд, чтобы убедить. Мы пишем карточки, которые выходят в топ выдачи и превращают просмотр в заказ. Карточка на маркетплейсе решает две задачи: попасть в выдачу по запросам и убедить купить. Мы собираем ключевые фразы для внутреннего поиска (по аналитике WB/Ozon), встраиваем их в заголовок и описание естественно, без переспама, и раскрываем выгоды товара языком покупателя. Описываем не характеристики, а пользу: что человек получит, какую проблему решит, чем товар лучше аналогов. Структурируем текст под мобильный экран — короткие абзацы, буллеты, акценты. Готовим тексты для инфографики, чтобы карточка продавала даже без чтения описания. Что входит: Сбор ключевых запросов для внутреннего поиска; SEO-заголовок и продающее описание; Раскрытие выгод языком покупателя; Тексты для инфографики и буллеты; Отстройка от конкурентов в нише; Рекомендации по структуре и характеристикам Кому подходит: Продавцы на Wildberries и Ozon; Бренды на Яндекс Маркете; Производители и дистрибьюторы; Селлеры, выходящие на новый маркетплейс"
"service","Видео-контент","Сценарии для видео и Reels — от хука до призыва за 30 секунд","scenarii-video","https://alex1986-rgb.github.io/textlab-landing/services/scenarii-video.html","Сценарии для Reels, Shorts и роликов на заказ — от 2 000 ₽ | ТекстЛаб","Заказать сценарий для Reels, YouTube Shorts, рекламного ролика: цепляющий хук, динамичная структура, призыв. Сценарии, которые удерживают до конца и набирают охваты.","Первые 3 секунды решают всё. Мы пишем сценарии, которые удерживают зрителя до финального кадра и ведут к действию. Короткое видео — это драматургия в сжатом виде. Мы начинаем с хука: фразы или кадра, который заставляет не пролистывать. Дальше — динамичная структура без провисаний, где каждая секунда добавляет ценность или интригу, и финал с понятным призывом: подписаться, перейти, купить. Пишем сценарии с раскадровкой и репликами: что в кадре, что за кадром, какой текст на экране. Учитываем формат площадки — Reels, Shorts, TikTok, YouTube — и цель: охваты, прогрев или продажа. Получаете готовый документ, по которому можно снимать сразу. Что входит: Цепляющий хук на первые 3 секунды; Сценарий с раскадровкой и репликами; Тексты на экран и закадровый голос; Структура под удержание до конца; Призыв к действию под цель ролика; Идеи серий и рубрик для регулярного контента Кому подходит: Эксперты и блогеры; Бренды и онлайн-школы; Локальный бизнес; Продуктовые и рекламные ролики"
"service","Брендинг","Нейминг и слоганы — имя бренда и фразы, которые запоминают","neyming-slogany","https://alex1986-rgb.github.io/textlab-landing/services/neyming-slogany.html","Нейминг и слоганы на заказ — разработка названия от 8 000 ₽ | ТекстЛаб","Заказать нейминг бренда и слоган: генерация вариантов, проверка на уникальность и благозвучие, смысловое обоснование. Имя и слоган, которые работают на бизнес.","Хорошее имя экономит миллионы на рекламе. Мы придумываем названия и слоганы, которые легко произносятся, запоминаются и работают на смысл бренда. Нейминг — это не «придумать красивое слово», а решить бизнес-задачу. Мы изучаем продукт, аудиторию, конкурентов и позиционирование, формулируем критерии (благозвучие, уникальность, ассоциации, свободный домен и товарный знак) и генерируем десятки вариантов, из которых отбираем сильнейшие. К каждому финальному варианту — смысловое обоснование: почему это имя работает, какие ассоциации вызывает, как звучит и читается. Проверяем на уникальность, занятость доменов и очевидные нежелательные коннотации. Слоган разрабатываем по той же логике — коротко, точно, в характере бренда. Что входит: Бриф и анализ позиционирования; Критерии нейминга под задачу; Генерация и отбор вариантов названий; Смысловое обоснование финалистов; Проверка благозвучия и коннотаций; Разработка слогана и дескриптора Кому подходит: Стартапы и новые продукты; Ребрендинг существующих компаний; Линейки товаров и услуг; Личные бренды"
"service","Performance","Рекламные тексты — объявления для Яндекс Директ, VK Ads и таргета","reklamnye-teksty","https://alex1986-rgb.github.io/textlab-landing/services/reklamnye-teksty.html","Рекламные тексты на заказ — объявления для Директа и таргета от 1 200 ₽ | ТекстЛаб","Заказать рекламные тексты: объявления для Яндекс Директ, VK Ads, таргета. Цепляющие заголовки, A/B-варианты, проработка офера. Тексты, которые снижают цену клика и заявки.","В рекламе побеждает не тот, кто громче, а тот, кто точнее попал в боль. Мы пишем объявления, которые цепляют нужную аудиторию и снижают стоимость заявки. Рекламный текст работает в связке с оффером и аудиторией. Мы формулируем сообщение под сегмент и этап воронки: холодному — зацепить и заинтересовать, тёплому — снять возражение, горячему — подтолкнуть к действию. Готовим несколько вариантов заголовков и текстов для A/B-тестов. Каждое объявление — это конкретная выгода, а не общие слова «качественно и недорого». Учитываем требования площадок (Директ, VK Ads, Telegram Ads, таргет) по длине и формату и пишем так, чтобы текст и посадочная страница говорили на одном языке. Что входит: Анализ аудитории и сегментов; Офер и ключевое сообщение; Заголовки и тексты объявлений; A/B-варианты для тестирования; Адаптация под форматы площадок; Связка объявления с посадочной страницей Кому подходит: Бизнес с платным трафиком; Агентства и таргетологи; Запуски и акции; Локальные услуги"
"service","Тексты для сайта","Тексты о компании — «О нас», услуги, миссия и презентации","teksty-o-kompanii","https://alex1986-rgb.github.io/textlab-landing/services/teksty-o-kompanii.html","Тексты о компании на заказ — страница «О нас» от 3 500 ₽ | ТекстЛаб","Заказать текст о компании: страница «О нас», описание услуг, миссия, ценности, коммерческие предложения. Тексты, которые формируют доверие и голос бренда.","Страница «О нас» — одна из самых посещаемых на сайте. Мы превращаем формальную отписку в текст, который вызывает доверие и желание работать именно с вами. Тексты о компании — это про доверие. Мы уходим от штампов «молодая динамично развивающаяся компания» и рассказываем о вас через факты, ценности и пользу для клиента: чем вы отличаетесь, как работаете, кому уже помогли. Так формируется голос бренда, узнаваемый на всех страницах. Пишем страницы «О нас» и «Услуги», миссию и ценности, тексты для презентаций и коммерческих предложений. Каждый текст работает на конкретную цель — снять недоверие, объяснить ценность, подтолкнуть к контакту — и встроен в единый tone of voice. Что входит: Интервью или бриф для сбора фактуры; Формулировка позиционирования и ценностей; Текст страницы «О нас» / «Услуги»; Миссия, принципы, преимущества; Единый tone of voice бренда; Тексты для презентаций и КП по запросу Кому подходит: Сайты компаний и услуг; B2B и производство; Эксперты и агентства; Ребрендинг и обновление сайта"
